구분,기업명,소재지,홈페이지
1,와디즈㈜,경기도 성남시 분당구 판교로 242 (삼평동) 판교디지털센터 A동 4층 402호,https://www.wadiz.kr
2,㈜크라우디,서울특별시 서초구 서운로 6 B1,https://www.ycrowdy.com
3,㈜오마이컴퍼니,서울특별시 은평구 통일로 684 (녹번동 5번지) 1동 미래청 6층 602호,https://www.ohmycompany.com
4,IBK투자증권㈜,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩,https://crowd.ibks.com
5,오픈트레이드㈜,"서울특별시 서초구 강남대로 369, 12층(서초동, 에이플러스에셋타워)",https://otrade.co
6,유진투자증권㈜,서울특별시 영등포구 국제금융로 24 유진그룹빌딩,https://crowd.eugenefn.com
7,㈜펀딩포유,서울특별시 강남구 테헤란로 524 삼성대세빌딩 6층,https://www.funding4u.co.kr
8,코리아에셋투자증권㈜,"서울특별시 영등포구 여의나루로 57, 12층 (여의도동 신송센터빌딩)",https://crowd.kasset.co.kr
9,㈜이안로드,서울시 영등포구 여의나루로 53-1 대오빌딩 903호,https://www.ian.re.kr
10,KTB투자증권㈜,서울특별시 영등포구 여의대로 66 KTB A동,https://crowd.ktb.co.kr
11,키움증권㈜,서울특별시 영등포구 여의나루로4길 18 (여의도동),https://crowd.kiwoom.com
12,우리종합금융㈜,"광주광역시 동구 금남로 182, 1층",https://www.wibeecrowd.com
13,㈜아시아크라우드펀딩,서울특별시 강남구 선릉로 513 APEXTOWER 9층,https://www.asiacrowd.kr
14,한국크라우드투자㈜,"서울특별시 강남구 역삼로 19길 9, 5층(역삼동, KT빌딩)",https://www.kofunding.co.kr
